game,n_rule_lines,rule_late,rule_random,rule_rigid,rule_dir_horizontal,rule_dir_vertical,rule_dir_fixed,rule_grouped,cell_no,cell_stationary,cell_moving,cell_perpendicular,cell_parallel,cell_orthogonal,cell_randomdir,cell_random,cell_action,cell_ellipsis,cell_arrows,cmd_win,cmd_cancel,cmd_restart,cmd_again,cmd_checkpoint,cmd_message,cmd_sfx,rule_multicell_max,rule_multipattern,startloop,pre_run_rules_on_level_start,pre_noaction,pre_norepeat_action,pre_throttle_movement,pre_noundo,pre_norestart,pre_realtime_interval,pre_zoomscreen,pre_flickscreen,pre_require_player_movement,n_messages,legend_or,legend_and,n_sounds,n_objects,n_layers,n_player_objects,n_rule_groups,n_rules_compiled,n_late_groups,n_late_rules_compiled,n_rule_sources,n_random_rules,n_rules_with_commands,n_rules_ellipsis,rigid,has_loop,pattern_max_cells,pattern_mean_cells,pattern_max_rows,rep_moves,rep_creates,rep_clears,n_winconditions,win_no,win_some,win_all,win_on,n_levels,level_mean_area,level_max_area,n_collision_layers,mean_solution_len,max_solution_len,mean_search_iters,frac_solved
-=lost=-,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,0.0,0.0,11.0,18.0,8.0,1.0,9.0,33.0,0.0,0.0,9.0,0.0,25.0,4.0,0.0,0.0,3.0,2.090909090909091,1.0,4.0,53.0,57.0,1.0,0.0,0.0,1.0,1.0,6.0,1427.5,2420.0,8.0,12.0,12,4007.8333333333335,0.16666666666666666
123456,117.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,63.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,111.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,10.0,6.0,34.0,5.0,12.0,117.0,447.0,0.0,0.0,117.0,0.0,187.0,0.0,0.0,1.0,2.0,1.9823008849557522,2.0,6.0,671.0,864.0,3.0,1.0,0.0,2.0,3.0,28.0,81.0,81.0,5.0,3.0,3,5.964285714285714,1.0
12345_v1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,0.0,5.0,13.0,3.0,9.0,52.0,205.0,0.0,0.0,52.0,0.0,117.0,0.0,0.0,1.0,2.0,1.9951219512195122,1.0,0.0,252.0,396.0,3.0,1.0,0.0,2.0,3.0,30.0,49.0,49.0,3.0,13.227272727272727,46,18718.833333333332,0.7333333333333333
1D_M3,154.0,18.0,0.0,0.0,0.0,1.0,41.0,0.0,85.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,93.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,68.0,7.0,14.0,75.0,15.0,3.0,136.0,174.0,18.0,28.0,154.0,0.0,21.0,0.0,0.0,1.0,3.0,1.409375,3.0,82.0,427.0,444.0,2.0,2.0,0.0,0.0,2.0,1.0,121.0,121.0,15.0,0.0,0,14000.0,0.0
1D_Sokoban,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,4.0,1.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,2.0,9.0,10.0,4.0,7.0,9,17.0,1.0
2020,13.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,2.0,11.0,8.0,1.0,11.0,26.0,2.0,2.0,13.0,0.0,12.0,0.0,0.0,0.0,4.0,2.0714285714285716,1.0,14.0,26.0,26.0,1.0,0.0,0.0,1.0,1.0,5.0,60.2,80.0,8.0,15.0,22,23876.8,0.6
2048,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,2.0,12.0,2.0,11.0,14.0,130.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,1.9846153846153847,1.0,128.0,129.0,257.0,1.0,0.0,1.0,0.0,1.0,1.0,16.0,16.0,2.0,0.0,0,84000.0,0.0
2D_Whale_World,8.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,10.0,7.0,5.0,1.0,5.0,26.0,3.0,5.0,8.0,0.0,0.0,20.0,0.0,0.0,3.0,2.5483870967741935,1.0,40.0,57.0,59.0,1.0,1.0,0.0,0.0,1.0,8.0,199.125,272.0,5.0,39.5,61,4967.0,0.5
3_brothers,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,8.0,14.0,4.0,3.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.8,2.0,12.0,18.0,18.0,1.0,0.0,0.0,1.0,1.0,14.0,118.28571428571429,189.0,4.0,14.272727272727273,18,19558.428571428572,0.7857142857142857
3_in_a_row,38.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,23.0,9.0,2.0,40.0,7.0,1.0,38.0,391.0,0.0,0.0,38.0,0.0,1.0,2.0,0.0,1.0,3.0,1.4858247422680413,3.0,145.0,1135.0,1145.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,110.0,7.0,0.0,0,14000.0,0.0
5_step_steve_DEMAKE,161.0,79.0,0.0,0.0,0.0,0.0,36.0,1.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,39.0,0.0,3.0,0.0,1.0,1.0,9.0,0.0,5.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,40.0,18.0,9.0,78.0,27.0,2.0,81.0,165.0,79.0,85.0,161.0,0.0,90.0,0.0,0.0,0.0,3.0,1.3577235772357723,3.0,31.0,309.0,433.0,0.0,0.0,0.0,0.0,0.0,1.0,19712.0,19712.0,27.0,0.0,0,1000.0,0.0
9x9_Go,27.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,5.0,20.0,6.0,2.0,23.0,54.0,4.0,8.0,27.0,0.0,6.0,0.0,0.0,0.0,2.0,1.6849315068493151,2.0,10.0,79.0,82.0,0.0,0.0,0.0,0.0,0.0,1.0,121.0,121.0,6.0,0.0,0,9000.0,0.0
AVGN_Dis-Ventures,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,11.0,17.0,3.0,1.0,6.0,24.0,1.0,2.0,7.0,0.0,0.0,8.0,0.0,0.0,3.0,2.066666666666667,2.0,28.0,40.0,54.0,4.0,1.0,0.0,3.0,4.0,30.0,184.86666666666667,750.0,3.0,13.571428571428571,40,3019.5333333333333,0.9333333333333333
A_Cog's_Life,60.0,0.0,0.0,2.0,7.0,7.0,12.0,1.0,4.0,6.0,4.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,3.0,3.0,14.0,5.0,1.0,59.0,102.0,0.0,0.0,60.0,0.0,3.0,0.0,1.0,1.0,2.0,1.5357142857142858,2.0,111.0,142.0,143.0,1.0,0.0,0.0,1.0,1.0,8.0,117.625,165.0,5.0,0.0,0,0.0,0.0
A_Knight's_Path,21.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,5.0,16.0,11.0,1.0,3.0,9.0,18.0,27.0,21.0,0.0,6.0,0.0,0.0,0.0,4.0,1.6923076923076923,4.0,8.0,72.0,80.0,1.0,0.0,0.0,1.0,1.0,2.0,109.5,147.0,11.0,50.0,50,20370.0,0.5
A_Knight's_Tour,38.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,7.0,2.0,17.0,5.0,1.0,38.0,75.0,0.0,0.0,38.0,0.0,4.0,4.0,0.0,0.0,3.0,1.8831168831168832,2.0,8.0,109.0,121.0,2.0,2.0,0.0,0.0,2.0,11.0,54.54545454545455,81.0,5.0,34.666666666666664,40,14399.0,0.2727272727272727
A_Rose_for_Icy_Heart,50.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,2.0,0.0,0.0,6.0,3.0,1.0,1.0,4.0,6.0,17.0,7.0,0.0,4.0,1.0,0.0,8.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,27.0,5.0,12.0,69.0,6.0,5.0,39.0,125.0,11.0,20.0,50.0,0.0,79.0,8.0,0.0,0.0,3.0,1.7763975155279503,2.0,108.0,160.0,182.0,0.0,0.0,0.0,0.0,0.0,11.0,176.9090909090909,384.0,6.0,29.428571428571427,62,1291.1818181818182,0.6363636363636364
A_Unexamined_Life_Is_Not_Worth_Meowing,37.0,20.0,0.0,0.0,1.0,4.0,8.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,8.0,18.0,9.0,1.0,17.0,53.0,20.0,29.0,37.0,0.0,28.0,0.0,0.0,0.0,3.0,1.891566265060241,2.0,40.0,99.0,125.0,1.0,0.0,0.0,1.0,1.0,1.0,98.0,98.0,9.0,0.0,0,16000.0,0.0
A_desecration_of_Jack_Lance's__I'm_too_far_gone_,38.0,20.0,0.0,0.0,0.0,0.0,10.0,11.0,11.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,13.0,5.0,44.0,27.0,1.0,7.0,138.0,20.0,40.0,38.0,0.0,18.0,0.0,0.0,0.0,2.0,1.7303370786516854,1.0,228.0,270.0,287.0,2.0,1.0,0.0,1.0,2.0,1.0,1334.0,1334.0,27.0,0.0,0,3000.0,0.0
"A_port_of_Puzzle_Wizard_IQ_130+,_level_18_of_72",40.0,36.0,0.0,0.0,3.0,2.0,4.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,10.0,2.0,24.0,12.0,1.0,4.0,16.0,36.0,39.0,40.0,0.0,16.0,4.0,0.0,1.0,3.0,1.5483870967741935,2.0,0.0,43.0,58.0,1.0,0.0,0.0,1.0,1.0,1.0,80.0,80.0,12.0,73.0,73,9382.0,1.0
Aaaah!_I'm_Being_Attacked_by_a_Giant_Tentacle!,55.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,14.0,1.0,3.0,7.0,0.0,0.0,0.0,8.0,0.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,10.0,1.0,6.0,27.0,10.0,1.0,55.0,112.0,0.0,0.0,55.0,0.0,9.0,0.0,0.0,0.0,2.0,1.5147058823529411,2.0,65.0,137.0,186.0,1.0,0.0,1.0,0.0,1.0,10.0,277.6,500.0,10.0,36.0,58,3897.5,0.6
Abel's_Werehouse,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,1.0,3.0,28.0,10.0,1.0,2.0,5.0,13.0,19.0,15.0,0.0,6.0,0.0,0.0,0.0,2.0,1.5,1.0,8.0,32.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,111.83333333333333,121.0,10.0,12.0,33,1463.0,1.0
Absorb,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,11.0,3.0,1.0,9.0,36.0,0.0,0.0,9.0,0.0,8.0,0.0,0.0,0.0,2.0,1.6363636363636365,2.0,16.0,40.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,132.5,144.0,3.0,10.0,11,211.5,1.0
"Ad_Infinitum_v0.4.2_[Implemented_HighFloor,_finished]",33.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,15.0,0.0,2.0,24.0,9.0,1.0,33.0,278.0,0.0,0.0,33.0,0.0,1.0,196.0,0.0,0.0,3.0,2.5390070921985815,2.0,220.0,465.0,501.0,3.0,2.0,0.0,1.0,3.0,28.0,61.607142857142854,110.0,9.0,6.2727272727272725,21,8522.535714285714,0.39285714285714285
Add_Man_2__This_Time_It's_Arithmetical,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,8.0,3.0,1.0,10.0,31.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,1.967741935483871,1.0,16.0,44.0,60.0,2.0,0.0,0.0,2.0,2.0,15.0,37.0,54.0,3.0,24.5,50,41499.066666666666,0.6666666666666666
Aerobatics,81.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,63.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,6.0,6.0,39.0,4.0,1.0,81.0,449.0,0.0,0.0,81.0,1.0,204.0,0.0,0.0,0.0,3.0,1.873661670235546,2.0,408.0,467.0,790.0,3.0,2.0,1.0,0.0,3.0,10.0,232.8,360.0,4.0,15.0,27,7338.6,0.3
Airport_Aggression,53.0,21.0,0.0,0.0,0.0,0.0,12.0,0.0,42.0,2.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,9.0,9.0,7.0,0.0,3.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,88.0,6.0,2.0,113.0,17.0,4.0,32.0,59.0,21.0,21.0,53.0,0.0,18.0,0.0,0.0,0.0,2.0,1.288659793814433,2.0,34.0,40.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,2480.0,2480.0,17.0,0.0,0,1000.0,0.0
Akari_2,105.0,80.0,0.0,0.0,0.0,0.0,76.0,23.0,49.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,2.0,44.0,11.0,8.0,25.0,72.0,57.0,107.0,105.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6927374301675977,1.0,44.0,171.0,191.0,1.0,1.0,0.0,0.0,1.0,4.0,44.25,49.0,11.0,5.0,5,7289.25,0.25
Al's_Egg_Roll,88.0,6.0,0.0,0.0,11.0,11.0,28.0,0.0,60.0,73.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,8.0,0.0,12.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,15.0,8.0,45.0,20.0,1.0,82.0,1107.0,6.0,6.0,88.0,0.0,221.0,0.0,0.0,1.0,3.0,1.9883198562443845,1.0,426.0,2003.0,2016.0,4.0,4.0,0.0,0.0,4.0,23.0,115.52173913043478,204.0,20.0,13.25,18,2518.2608695652175,0.17391304347826086
Alcazar,161.0,8.0,2.0,0.0,0.0,0.0,100.0,0.0,191.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,4.0,7.0,51.0,48.0,1.0,153.0,170.0,8.0,8.0,161.0,2.0,28.0,0.0,0.0,1.0,2.0,1.4916201117318435,2.0,21.0,175.0,240.0,3.0,3.0,0.0,0.0,3.0,10.0,41.9,108.0,48.0,8.0,12,10131.7,0.2
Algorithm-Generated_Sokoban_Levels,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,2.0,7.0,7.0,1.0,4.0,24.0,2.0,2.0,6.0,0.0,13.0,0.0,0.0,0.0,2.0,1.9230769230769231,1.0,8.0,25.0,25.0,3.0,0.0,2.0,1.0,3.0,20.0,36.0,36.0,7.0,55.1764705882353,90,29621.45,0.85
All_These_Damn_Crates,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,4.0,6.0,3.0,1.0,4.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.0,32.0,32.0,1.0,0.0,0.0,1.0,1.0,4.0,115.75,121.0,3.0,0.0,0,42500.0,0.0
Alley,50.0,0.0,2.0,0.0,0.0,0.0,20.0,1.0,12.0,8.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,13.0,9.0,1.0,49.0,96.0,0.0,0.0,50.0,8.0,0.0,0.0,0.0,0.0,3.0,1.7857142857142858,2.0,60.0,139.0,172.0,1.0,0.0,0.0,1.0,1.0,7.0,85.42857142857143,121.0,9.0,9.4,17,13349.0,0.7142857142857143
Amy,6.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,3.0,10.0,4.0,1.0,1.0,4.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8,1.0,8.0,12.0,14.0,2.0,0.0,0.0,2.0,2.0,8.0,65.5,81.0,4.0,0.0,0,52500.0,0.0
An_Auspicious_Day_v0.2.1,79.0,16.0,0.0,0.0,7.0,10.0,32.0,0.0,32.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,12.0,6.0,0.0,0.0,0.0,4.0,2.0,26.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,18.0,81.0,2.0,32.0,6.0,4.0,63.0,415.0,16.0,31.0,79.0,0.0,31.0,16.0,0.0,0.0,6.0,2.463203463203463,2.0,244.0,797.0,939.0,0.0,0.0,0.0,0.0,0.0,1.0,22440.0,22440.0,6.0,0.0,0,1000.0,0.0
Ancient_Puzzles_of_Colossal_Caves_indev4,70.0,3.0,0.0,0.0,1.0,2.0,9.0,4.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,13.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,5.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.0,13.0,62.0,26.0,1.0,63.0,219.0,3.0,3.0,70.0,0.0,14.0,0.0,0.0,1.0,3.0,1.5870786516853932,2.0,4.0,473.0,523.0,1.0,1.0,0.0,0.0,1.0,8.0,126.875,204.0,26.0,0.0,0,6625.0,0.0
Angize,27.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,0.0,3.0,14.0,4.0,1.0,27.0,50.0,0.0,0.0,27.0,0.0,23.0,0.0,0.0,0.0,3.0,1.88,1.0,32.0,55.0,65.0,1.0,1.0,0.0,0.0,1.0,13.0,82.53846153846153,231.0,4.0,2.0,2,1.0,1.0
Animal_Cascade,85.0,4.0,0.0,0.0,0.0,0.0,32.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,13.0,8.0,29.0,5.0,1.0,81.0,144.0,4.0,4.0,85.0,0.0,112.0,0.0,0.0,1.0,3.0,2.263157894736842,2.0,96.0,224.0,232.0,2.0,2.0,0.0,0.0,2.0,10.0,338.6,416.0,5.0,4.9,9,58.4,1.0
Antimatter_Labs,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,34.0,1.0,0.0,3.0,17.0,7.0,1.0,7.0,19.0,6.0,15.0,13.0,0.0,3.0,0.0,0.0,0.0,2.0,1.7058823529411764,1.0,16.0,37.0,43.0,3.0,0.0,0.0,3.0,3.0,12.0,113.91666666666667,220.0,7.0,12.333333333333334,18,24039.666666666668,0.25
Aperture_Science_Sokoban_Testing_Initiative,226.0,148.0,28.0,0.0,14.0,9.0,84.0,4.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,0.0,57.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,5.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,49.0,25.0,14.0,32.0,6.0,4.0,78.0,390.0,144.0,196.0,226.0,28.0,101.0,0.0,0.0,0.0,3.0,1.5440993788819877,3.0,216.0,756.0,1069.0,0.0,0.0,0.0,0.0,0.0,23.0,110.95652173913044,224.0,6.0,11.6,24,8112.913043478261,0.21739130434782608
"At_Last,_A_Ninja!",80.0,0.0,0.0,0.0,2.0,0.0,57.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,28.0,4.0,16.0,32.0,6.0,10.0,80.0,118.0,0.0,0.0,80.0,0.0,39.0,2.0,0.0,0.0,3.0,1.7753623188405796,2.0,42.0,178.0,190.0,2.0,1.0,0.0,1.0,2.0,3.0,162.0,162.0,6.0,0.0,0,8333.333333333334,0.0
