game,n_rule_lines,rule_late,rule_random,rule_rigid,rule_dir_horizontal,rule_dir_vertical,rule_dir_fixed,rule_grouped,cell_no,cell_stationary,cell_moving,cell_perpendicular,cell_parallel,cell_orthogonal,cell_randomdir,cell_random,cell_action,cell_ellipsis,cell_arrows,cmd_win,cmd_cancel,cmd_restart,cmd_again,cmd_checkpoint,cmd_message,cmd_sfx,rule_multicell_max,rule_multipattern,startloop,pre_run_rules_on_level_start,pre_noaction,pre_norepeat_action,pre_throttle_movement,pre_noundo,pre_norestart,pre_realtime_interval,pre_zoomscreen,pre_flickscreen,pre_require_player_movement,n_messages,legend_or,legend_and,n_sounds,n_objects,n_layers,n_player_objects,n_rule_groups,n_rules_compiled,n_late_groups,n_late_rules_compiled,n_rule_sources,n_random_rules,n_rules_with_commands,n_rules_ellipsis,rigid,has_loop,pattern_max_cells,pattern_mean_cells,pattern_max_rows,rep_moves,rep_creates,rep_clears,n_winconditions,win_no,win_some,win_all,win_on,n_levels,level_mean_area,level_max_area,n_collision_layers,mean_solution_len,max_solution_len,mean_search_iters,frac_solved
limerick_test,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,11.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,16.0,16.0,4.0,0.0,0,14268.0,0.0
lovendpieces,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,2.0,1.0,1.0,4.0,1.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,8.0,8.0,1.0,1.0,0.0,0.0,1.0,9.0,120.0,120.0,2.0,14.625,21,7076.111111111111,0.8888888888888888
lunar_lockout,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,2.0,8.0,5.0,1.0,5.0,24.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.8333333333333333,1.0,12.0,36.0,36.0,1.0,0.0,1.0,0.0,1.0,4.0,49.0,49.0,5.0,22.25,36,9849.5,1.0
m c eschers armageddon,19.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,14.0,4.0,4.0,19.0,37.0,0.0,0.0,19.0,0.0,33.0,0.0,0.0,0.0,2.0,1.4594594594594594,1.0,32.0,45.0,50.0,1.0,1.0,0.0,0.0,1.0,4.0,289.5,860.0,4.0,42.0,141,525.25,1.0
magnetic,23.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,2.0,17.0,7.0,1.0,23.0,32.0,0.0,0.0,23.0,0.0,0.0,14.0,0.0,0.0,3.0,2.0,2.0,20.0,53.0,58.0,1.0,0.0,0.0,1.0,1.0,4.0,135.0,135.0,7.0,7.0,12,2314.75,1.0
manic_ammo,38.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,15.0,23.0,3.0,1.0,38.0,77.0,0.0,0.0,38.0,0.0,14.0,0.0,0.0,0.0,3.0,1.8068181818181819,2.0,47.0,157.0,158.0,1.0,0.0,0.0,1.0,1.0,15.0,67.2,77.0,3.0,19.272727272727273,52,11920.533333333333,0.7333333333333333
mazetest,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,11.0,1.0,10.0,19.0,0.0,0.0,10.0,9.0,8.0,0.0,0.0,0.0,2.0,1.5217391304347827,2.0,8.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,1200.0,1200.0,11.0,0.0,0,4000.0,0.0
mazezam,8.0,1.0,0.0,0.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,10.0,0.0,6.0,17.0,3.0,3.0,7.0,16.0,1.0,1.0,8.0,0.0,0.0,10.0,0.0,0.0,5.0,3.0588235294117645,1.0,26.0,13.0,13.0,1.0,0.0,0.0,1.0,1.0,30.0,102.9,228.0,3.0,75.16,159,9381.0,0.8333333333333334
microban,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,8.0,1.0,0.0,0.0,1.0,1.0,10.0,59.6,96.0,3.0,54.5,107,25863.5,0.8
midas,15.0,9.0,0.0,0.0,2.0,0.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,1.0,9.0,13.0,5.0,3.0,6.0,8.0,9.0,21.0,15.0,0.0,12.0,0.0,0.0,0.0,2.0,1.8666666666666667,2.0,2.0,39.0,50.0,1.0,0.0,1.0,0.0,1.0,15.0,222.6,357.0,5.0,11.0,16,11309.066666666668,0.4
mijn_puzzelspel,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,4.0,4.0,2.0,1.0,2.0,8.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,2.4,1.0,16.0,16.0,24.0,1.0,1.0,0.0,0.0,1.0,3.0,111.66666666666667,275.0,2.0,0.0,0,9471.666666666666,0.0
modality,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,7.0,4.0,1.0,4.0,16.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,16.0,16.0,16.0,1.0,0.0,0.0,1.0,1.0,4.0,43.75,99.0,4.0,65.75,158,1491.25,1.0
naborciM,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,3.0,6.0,3.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,8.0,8.0,8.0,1.0,1.0,0.0,0.0,1.0,10.0,59.6,96.0,3.0,47.6,100,1845.3,1.0
naughtysprite,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.6,1.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,63.0,4.0,0.0,0,1190.0,0.0
nekopuzzle,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,3.0,2.0,1.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,8.0,12.0,1.0,1.0,0.0,0.0,1.0,10.0,56.8,64.0,2.0,6.6,9,12.8,1.0
niggle,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,16.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,16.0,2.0,22.0,5.0,2.0,18.0,62.0,10.0,25.0,28.0,0.0,16.0,12.0,0.0,0.0,9.0,1.9618320610687023,4.0,20.0,132.0,180.0,0.0,0.0,0.0,0.0,0.0,4.0,131.25,228.0,5.0,0.0,0,40000.0,0.0
