game,compiled,random,n_levels,n_solved,n_timeout,max_len,mean_len,max_iters,error
Broken_Abacus,1,1,16,10,6,40,27.0,8568,
Broken_Leg_Sokoban,1,0,9,4,5,42,25.2,37000,
Broken_Maze,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Brotherhood,1,0,15,7,8,15,11.4,25670,
Brush_Runner,1,0,1,0,1,0,0,9000,
Bubble_Boy,1,0,3,0,3,0,0,3000,
Bubble_Butler__CMD_REORGANIZE,1,0,31,31,0,38,4.5,7101,
Bubblegoban,1,0,7,4,0,44,31.8,768,
Bug_Exterminator,1,1,5,0,5,0,0,14000,
BulletDodger,1,0,24,13,11,55,25.0,19000,
Bunshin_master_0.75,0,1,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
CC2,1,0,1,1,0,5,5.0,69,
COIN_COLLECTORS,1,0,10,10,0,10,5.7,452,
Cancel,1,0,8,4,4,58,35.8,47000,
Candy's_Crushes_Saga,1,0,26,22,4,76,32.7,62000,
Candy_Bomb,1,0,14,10,4,30,12.5,63000,
Candy_Crush_Demake,1,1,10,6,3,17,12.0,7000,
Cannon_Fodder,1,0,1,0,1,0,0,16000,
Carnival_Shooter!,1,0,1,0,0,0,0,392,
Carnival_Shooter,1,0,1,0,0,0,0,392,
Castle_Duck!,1,0,5,4,1,45,33.2,14071,
Castle_Elsewhere,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Castle_Monk,1,0,2,2,0,19,16.5,44,
Catrap,1,1,101,41,57,79,37.9,27000,
Cave_Explorer,1,1,1,0,1,0,0,1000,
Cave_Story_Demake_v2.3,1,0,3,2,1,14,8.0,3000,
Cell_Division,1,0,1,0,1,0,0,31000,
Channel,1,1,1,0,0,0,0,11,
Chicken_Chicken_Crocodisles_-_Bonus_Level,1,1,1,0,1,0,0,4000,
Circuit_Breaker,1,0,5,2,3,59,38.0,37123,
Circulando,1,0,3,1,2,15,15.0,47000,
City_Founder,1,1,1,0,1,0,0,1000,
Clean_Up,1,0,8,8,0,30,16.1,1667,
Clean_your_room,1,0,12,8,4,45,29.6,58000,
Clones,1,0,10,4,6,17,12.2,13000,
Closure_Demake,1,0,6,2,4,23,18.5,2000,
Club_Penguin,1,1,1,0,1,0,0,21000,
Coin_Counter,1,0,11,10,0,78,33.8,11042,
Coin_Dropper,1,0,24,19,5,35,16.5,46455,
Coin_Eater,1,0,7,7,0,15,9.7,17672,
Cold_Feet_Sokoban,1,0,3,2,1,14,10.5,42000,
Collapsable_Sokoban,1,0,3,2,1,14,10.0,22000,
Collect_Gnocchi,1,0,19,2,17,29,28.0,16000,
ColorLift,1,1,1,0,1,0,0,3000,
Color_Combination,1,0,5,3,2,16,10.7,52000,
Color_Fill_Land,1,1,11,5,6,10,7.4,3000,
Color_Slider,1,0,5,0,0,0,0,5723,
Color_Totems,1,0,18,1,17,77,77.0,43000,
Colorban,1,0,23,20,3,33,18.0,31000,
Colorblend,1,1,1,0,1,0,0,7000,
Colors,1,1,1,0,1,0,0,15000,
Colour_Chained,1,1,12,7,5,9,6.3,4000,
Colour_Chained_Endless,1,1,1,0,1,0,0,2000,
Combine!,1,0,12,9,3,12,6.1,55000,
Come_Doggo_come_-_Alliteration,1,0,1,0,1,0,0,18000,
Connect_Four,1,0,2,2,0,11,11.0,6569,
Conway's_Game_of_Life,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Cooking_Game,1,0,7,1,6,54,54.0,13000,
Cops_N_Robbers,0,1,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
