game,compiled,random,n_levels,n_solved,n_timeout,max_len,mean_len,max_iters,error
No_Right_Turn_Sokoban,1,0,4,3,1,115,65.0,41000,
Noleap,1,0,1,0,1,0,0,2000,
Nom,1,0,1,1,0,23,23.0,28142,
Not_Normal_Crates,1,0,18,13,5,36,16.7,39000,
Not_in_the_mood,1,0,1,0,1,0,0,16000,
Number_Friends_-work_in_progress-,1,0,27,9,18,71,16.1,22000,
Nyetris_DEMOv1.8,1,0,12,2,10,6,5.0,19000,
Ocean_Treasure,1,0,12,12,0,37,23.4,35664,
Ogres_Are_Like_Onions,1,0,1,0,1,0,0,4000,
Okosban,1,0,11,2,9,35,24.0,90000,
Omniban,1,0,19,10,9,35,21.1,50000,
Omnipresent,1,0,7,3,4,26,20.0,42000,
On_Board,1,1,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
One_Way_Street,1,0,3,2,1,37,30.0,43000,
Opposition,1,0,14,13,1,55,15.1,48000,
Ouroboros,1,0,6,6,0,14,8.3,478,
Out_There,1,1,19,5,14,88,34.8,5000,
Ouzo_Pixel_Party,1,0,9,3,6,15,9.0,33000,
Overreaction,1,0,1,0,1,0,0,2000,
Overrwyrld__V.1.540,1,0,1,0,1,0,0,1000,
Oxygen_Not_Required,1,0,3,2,1,13,12.0,42000,
PENTAGO,1,0,1,0,1,0,0,20000,
PETS_[Personal_Entertainment_Television_System],1,1,29,17,6,6,2.4,4000,
PS_Paint,1,0,1,0,1,0,0,22000,
PUZZLETALE,1,0,11,3,8,53,30.3,13000,
P[+]SITIVE_~_NEG[-]TIVE_{BETA_1},1,0,7,3,4,13,9.0,37000,
Pac-Puzzler,1,0,1,1,0,23,23.0,10372,
Pac-Slide_V0.3,1,0,9,8,1,15,9.2,13000,
PackBot,1,0,12,8,4,64,31.9,48000,
Paint,1,0,6,0,6,0,0,25000,
Painter,1,0,1,0,1,0,0,7000,
Palette,1,0,15,12,3,35,18.8,66065,
Palm_Shark,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
"Pants,_Shirt,_Cap",1,1,9,8,1,40,25.2,72000,
ParaLands,1,0,21,2,19,29,22.5,9000,
Parity_Match,1,0,12,11,1,44,27.5,43819,
Party_Demon,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Party_Leaver_0.02,1,1,6,5,1,40,19.2,26000,
Password,1,0,3,0,1,0,0,12000,
Path_Finder,1,0,1,0,1,0,0,1000,
Paul_Bunyan's_Demade_Island_Adventure__(v2),1,0,2,0,1,0,0,1000,
Pegs,1,0,15,2,13,52,38.5,47000,
Philosophy,1,1,113,110,3,47,17.5,20000,
Picky_Leaks,1,1,15,0,0,0,0,72,
Piedra,1,0,4,4,0,35,23.5,1489,
Pig_Friends,1,0,20,19,0,1,1.0,8,
Pilgrimage,1,0,2,2,0,12,9.0,61,
Pink_Matter,1,0,9,6,3,20,14.3,67000,
Pipe_Game,1,0,3,1,2,11,11.0,64000,
Pipe_Navigation,1,0,1,0,1,0,0,54000,
Pipes,1,1,3,0,3,0,0,20000,
Pitman_MZ-700,1,0,50,21,28,79,50.8,47000,
Pivotal,1,1,20,12,8,62,28.9,4000,
Pixel_Master,1,0,10,0,10,0,0,4000,
Polyomino_Puzzles,1,0,3,0,3,0,0,29000,
Pong,1,1,1,0,0,0,0,169,
Ponies_Jumping_Synchronously,1,0,12,8,4,17,10.2,36000,
Pontoluvian_StraightJacket_Puzzle,1,1,9,4,5,14,12.0,21000,
Poop_and_Salad_Have_Different_Mindsets,1,0,5,3,2,8,6.7,39000,
Pornography_for_Beginners,1,1,6,1,5,14,14.0,7000,
Possibility_Space,1,0,3,2,1,33,24.5,9000,
Pousser_des_caisses,1,0,3,1,2,24,24.0,36000,
Power_Block,1,0,15,12,3,65,22.7,32000,
Power_Problems,1,0,16,5,11,14,7.6,49000,
Princess_of_Isometria_v0.10,1,1,9,0,3,0,0,3000,
PrograMaze,1,0,8,1,7,8,8.0,32000,
Prototype_Demo_v1,1,0,6,4,2,40,18.0,21000,
Pulling_Box_Sokoban,1,0,10,10,0,73,31.5,12813,
Pumpkin_smasher_,1,0,8,8,0,11,5.9,62,
Push_-_A_-_Crate,1,0,14,8,6,23,7.5,37000,
Push_Space,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Pushcat_Jr,1,0,8,0,8,0,0,35000,
Pushing_It,1,0,1,0,0,0,0,1,
Pushller_,1,0,4,2,2,26,25.0,42000,
Puzzle-Design_Homework,1,0,5,0,5,0,0,31000,
PuzzleScript_Cell_Machine_Test,1,0,4,3,1,20,15.7,36000,
PuzzleTech_0.73,1,1,1,0,1,0,0,11000,
Puzzle_Dash,1,1,8,0,8,0,0,8000,
Puzzle_Defender,1,1,1,0,1,0,0,5000,
Puzzle_Game_Supreme_With_Cheese,1,1,4,4,0,7,4.2,380,
Puzzle_Script_DROD,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Puzzle_Script_Tutorial,1,0,21,21,0,21,8.9,259,
Puzzle_Snake,1,0,1,0,0,0,0,1,
Puzzle_Stitch,1,0,1,0,1,0,0,32000,
Puzzleboi,1,0,5,2,3,24,22.5,78000,
Puzzlescript_Chess,1,0,1,0,1,0,0,2000,
Puzzlescript_Chess_[WIP],1,0,1,0,1,0,0,2000,
Puzzlescript_Diary,1,0,8,6,2,42,21.0,26000,
Quantum_Childminding,1,1,4,0,4,0,0,14000,
Quantum_Childminding_-_Expanded_Levelset,1,1,8,0,8,0,0,15000,
RAFTURE_2__SALVATION,1,0,9,9,0,25,19.4,21102,
RBG,1,0,1,1,0,22,22.0,930,
RED_GREEN_BLUE,1,0,2,0,2,0,0,56000,
Rabbit_Renovations,1,1,18,0,18,0,0,1000,
Rabbits_like_Carrots,1,0,20,1,15,27,27.0,19000,
Racist_Dogs,1,0,3,3,0,15,9.0,1355,
Rainbow_Apples,1,0,10,7,3,25,12.7,59000,
Random_Color_Maze,1,1,8,8,0,28,11.0,226,
Reap,1,0,6,0,0,0,0,20800,
Remote_Control_Sokoban,1,0,3,2,1,38,23.5,49000,
Repeater,1,0,7,0,7,0,0,30000,
Repel,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Reset,1,0,11,11,0,24,9.8,245,
Rewindoban,1,0,5,5,0,16,10.8,812,
Rippler's_Tower,1,1,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Rob's_first_game,1,0,4,4,0,52,18.0,6426,
Robot_Repairs_1.2,1,0,20,4,16,102,51.8,41000,
"Rock,_Paper,_Scissors_(v0.90_=_v1.alpha)",1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Rocketman,1,0,5,5,0,13,7.0,16,
Rocketmen,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Rodent's_Revenge______[PuzzleScript_Edition],1,1,4,0,4,0,0,15000,
Roller_Boi,1,0,6,6,0,25,16.2,76,
Rolling-block_colour-zone_mazes,1,0,9,9,0,25,18.6,117,
Rook_Game,1,0,7,5,2,18,15.4,86000,
Roots,1,0,5,5,0,11,5.0,509,
Rose,1,1,2,0,1,0,0,1000,
Routing_Puzzle,1,1,34,7,14,11,6.9,3000,
Roze,1,0,1,0,1,0,0,18000,
Runner_2,1,1,1,0,0,0,0,6,
Running_out_of_space_and_into_your_spaceship,1,1,1,0,1,0,0,1000,
Rush_Hour,1,0,1,0,1,0,0,38000,
SHELL_CASE,1,0,6,3,3,25,15.7,47000,
SHY_SNAKE,1,0,3,1,2,28,28.0,2000,
SNAQUIA,1,1,1,0,1,0,0,54000,
SSR_Demake,1,0,3,3,0,52,23.7,5786,
STRATA-GEMS,1,0,30,6,24,25,13.8,54000,
STUCK_IN_A_HOLE,1,0,17,17,0,26,7.1,121,
Santa's_Great_Escape,1,0,9,5,4,36,23.2,40000,
Sasquatch_Sokoban,0,0,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
Saute_Mouton,1,0,1,1,0,38,38.0,484,
Savior,1,0,9,2,7,26,25.0,1000,
Scale_the_Tower,1,0,1,0,0,0,0,12,
Schleimban,1,0,6,5,0,59,38.2,13484,
Season_Finale,1,1,12,2,10,51,43.0,7000,
Shared_Bridges_Game,1,0,8,4,4,35,23.5,14686,
Sheep,1,0,12,2,10,35,24.5,25000,
Shield_Game,1,0,3,3,0,36,21.0,973,
Shoop,1,1,1,0,1,0,0,29000,
Shooting_Pool,1,0,6,5,1,54,27.2,21000,
Shroom_Party!,1,0,1,1,0,123,123.0,4508,
Silly_Rabbit,1,0,4,4,0,18,13.5,48,
Simple_Block_Plagarism_Game,1,1,5,2,3,33,22.5,9000,
Simple_Block_Pushing_Game,1,1,1,0,1,0,0,33000,
Single_Map_Symbol_Microban,1,1,10,7,3,97,47.0,40000,
Skeleton_Assembler,1,0,1,0,1,0,0,11000,
Skull_Contraption,1,0,4,1,3,63,63.0,28000,
Sleeping_Bear,1,0,1,1,0,17,17.0,4704,
Slide_Rule,1,1,31,26,5,25,8.5,2000,
Slidyyyyyyy,1,0,5,5,0,13,10.6,27,
Slime_Squisher,1,0,20,19,0,2,2.0,2,
Slippy_Penguin,1,0,7,7,0,15,7.3,39,
Sluzzle,1,0,49,30,0,24,19.4,100000,
Smoothoban,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Snake,1,1,1,0,1,0,0,51000,
Snake_Crate,1,0,11,1,10,12,12.0,40000,
Snake_Scout,1,0,1,0,1,0,0,12000,
Snakeoban,1,0,10,5,5,26,14.4,53000,
Snakeskin,1,1,9,0,9,0,0,8000,
Snakey_Jakey,1,0,32,17,15,40,19.5,17000,
Snek,1,0,9,4,5,15,10.8,22000,
Snow,1,0,13,12,1,28,11.4,88000,
Snowman_Decorator,1,1,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Soko-bine,1,0,8,7,1,61,26.4,74000,
Soko_and_the_Band,1,0,1,0,0,0,0,1096,
Sokobaiogenesis,1,0,13,5,8,45,34.4,42000,
Sokoban..._,1,0,9,9,0,19,10.7,5297,
Sokoban_Dungeon,1,0,3,3,0,41,25.0,41174,
Sokoban_Flipped,1,0,10,7,3,61,30.1,83000,
Sokoboros,1,0,1,0,1,0,0,2000,
Sokobot,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Sokocross,1,0,22,10,12,28,15.9,61000,
Sokofun_Clone,1,1,7,4,3,38,20.5,45000,
Sokolor_EX,1,1,5,2,3,45,29.0,65000,
Sokoslam,1,1,18,5,13,25,14.2,82000,
Sokubunny_and_the_colored_Boxes,1,0,23,23,0,52,28.3,12375,
Soliquid,1,0,11,9,2,48,20.2,38000,
Solitaire,1,0,8,1,7,4,4.0,27000,
Some_lines_were_meant_to_be_crossed,1,0,7,1,6,16,16.0,48000,
Son_of_Pacman,1,0,4,3,1,19,13.3,78000,
Sorx-Aubi,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Space_Expedition,1,1,8,2,6,26,24.0,41000,
Space_Shoot-em-puzzle,1,0,10,10,0,16,11.8,592,
Spacekoban,1,0,20,19,1,35,10.3,29000,
Spider's_Hollow,1,1,11,10,1,45,21.1,7000,
Spider_Solitaire,1,1,1,0,1,0,0,3000,
Splatooban_[DEMO_II],1,0,16,2,14,31,25.0,36000,
Sponge_Game,1,0,1,1,0,23,23.0,9063,
Spring,1,0,21,4,17,20,12.2,34000,
Stackoban,1,1,30,20,10,54,26.2,24000,
Stage_Floor_Assembler,1,0,15,3,12,61,45.7,29000,
Stained_Glass,1,0,4,1,3,21,21.0,77000,
Stairs,1,0,7,5,2,58,24.6,29000,
Stairways,1,0,3,3,0,19,14.3,16942,
Stand,1,0,5,4,1,37,18.0,37000,
Stand_II,1,0,11,9,2,31,12.9,44781,
Stand_III,1,0,15,12,3,34,15.2,51000,
Stand_Off,1,1,10,3,7,42,26.3,15000,
"Stand_aside,_everyone!_I_take_large_steps!",1,0,1,0,0,0,0,38378,
Star_Burger_Inc,1,0,16,9,7,102,44.2,17000,
Stealth_Agent_Gemini,0,0,0,0,0,0,0,0,Cannot read properties of undefined (reading 'length')
Step-over_sequence_mazes_[2021],1,0,3,3,0,38,34.7,74,
Step-over_sequence_mazes_[pre-2010],1,0,4,4,0,36,26.0,50,
Stepping_Stones,1,0,7,6,1,31,15.7,35000,
Stick-with-it_mazes,1,0,5,5,0,44,35.2,220,
Sticky_Cubes,1,0,11,1,10,33,33.0,15000,
Sticky_v0.901,1,0,14,9,5,54,28.7,71000,
Stickyban,1,0,7,7,0,41,24.6,14038,
Straighten_Up,1,1,6,1,5,23,23.0,31000,
Strange_Warehouse,1,1,14,14,0,19,11.4,10670,
Strong_Fish,1,0,18,8,10,80,34.9,62753,
Stuffle,1,0,2,2,0,33,24.5,900,
Subterranean_Maze_of_Caves,1,0,5,4,1,31,23.5,6000,
Summer,1,0,21,12,9,47,19.8,7000,
Suplexer,1,1,4,2,2,13,9.0,18000,
Surround_Yourself_With_Dogs,1,0,5,0,5,0,0,24000,
SwapBot,1,0,12,2,10,9,8.0,24000,
Swap_Sokoban,1,0,10,9,1,63,20.0,60000,
Sweet_Hints,1,1,7,5,2,25,15.0,3326,
Switch_It_Up,1,0,1,0,0,0,0,246,
Switchboard_Operator,1,0,10,4,6,323,95.5,16000,
Switcheroo,1,0,8,7,1,36,20.7,4000,
Take_Heart_Lass,1,0,12,10,2,27,12.8,23000,
Teh_Interwebs,1,0,6,3,3,8,7.7,24000,
Tele,1,0,7,7,0,12,9.1,12619,
Telefrag,1,1,8,1,7,31,31.0,99000,
Tempting_Fate,1,0,1,0,1,0,0,12000,
The_Adventure_of_Puzzler,1,1,12,1,11,6,6.0,8000,
The_Adventures_of_Pablo_Diego_Jose_Francisco_de_Paula_Juan_Nepomuceno_Maria_de_los_Remedios_Cipriano_de_la_Santisima_Trinidad_Ruiz_y_Picasso_________By_Jeremy_Adinolfi,1,1,18,7,11,22,13.3,22600,
The_Adventures_of_Red_and_Blue!,1,0,10,2,8,12,9.5,26000,
"The_Beginning,_The_End",1,0,12,1,10,9,9.0,9000,
The_Blob,1,0,5,4,1,18,13.5,48000,
The_Block_Tower,1,0,1,0,1,0,0,4000,
The_Circulatory_System_Global_Office_-_CSGO,1,1,24,23,1,15,6.8,17000,
The_Dragon's_Cave,1,1,2,0,2,0,0,16000,
The_Dragon's_Gold,1,1,12,3,8,33,17.0,10000,
The_Dungeon_of_Squeamish_Chickens,1,0,12,9,3,62,17.8,38000,
The_Explorer_3.0,1,1,12,7,5,29,16.4,46000,
The_Great_Emu_War,1,0,24,7,7,67,36.6,29000,
The_Growth_of_H'Ragh,1,0,8,7,0,25,14.4,2552,
The_Irrigation_Game,1,0,10,2,8,9,7.5,42000,
The_Land_Of_Secrets,1,0,4,1,3,136,136.0,16000,
The_Legend_of_Zokoban,1,1,2,0,2,0,0,3000,
The_Lucid_Dreamer,1,1,4,0,4,0,0,11000,
The_McKelvey-Schofield_Theorem,1,0,2,1,1,4,4.0,2000,
The_Nuevo_Asylum,1,0,5,3,2,79,36.3,38000,
The_Observable_Universe,1,0,7,7,0,15,8.9,14706,
The_Overtaking,1,0,1,0,1,0,0,1000,
The_Riddle_Machine,1,0,5,0,5,0,0,13000,
The_Shields_of_Power,1,1,1,0,1,0,0,1000,
The_Trouble_with_Toasters,1,1,5,2,3,15,13.0,92000,
The_Workshop,1,0,11,4,7,24,12.8,86000,
The_World_Beneath_the_Surface,1,0,16,11,5,31,18.4,17000,
The_electrician,1,0,6,5,1,20,11.0,66000,
There_is_no-one_here_to_help_you,1,0,11,6,5,21,12.2,92000,
Thirty-Two_Nanobots,1,0,1,0,1,0,0,34000,
This_Adventure_World,1,0,9,8,1,24,9.2,21000,
Tic-Fa-No,1,1,1,0,0,0,0,121,
Tidy_the_Cafe!,1,1,6,2,4,18,14.0,45000,
Tile_Tiler,1,0,4,3,1,12,10.3,39782,
Time-Reversed_Minicosmos,1,0,40,39,1,187,77.3,46000,
Time-reversed_Microban,1,0,10,10,0,100,47.6,5712,
TimeStopp,1,0,8,0,0,0,0,1,
Tiny_Farm_0.1,1,0,3,1,2,11,11.0,15000,
TipOver,1,0,11,11,0,53,26.7,4606,
Together_Alone,1,0,4,3,1,25,19.0,66000,
Tornado_Tamer,1,0,6,2,4,10,10.0,36000,
Touchdown_Heroes_(Prototype),1,0,10,6,4,18,10.8,29000,
Touchscreen,1,1,30,19,11,68,32.9,42000,
Touhouban_-_Beta,1,1,6,0,6,0,0,32000,
Towerfall,1,1,2,1,0,1,1.0,1,
Towers_of_Hanoi,1,0,4,4,0,143,56.5,1553,
Towers_of_Saigon,1,0,48,12,36,46,22.3,66000,
Tracklayer,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Tractor_Beam_Sokoban9,1,0,10,6,4,27,13.8,29000,
Train,1,1,7,5,2,19,13.8,23000,
Trains_Love_Snowmen,1,0,3,0,3,0,0,1000,
Transparency,1,0,10,7,3,32,17.1,16000,
Travelling_salesman,1,0,12,11,1,24,18.9,23000,
Treasure_Hunt,1,0,2,1,1,3,3.0,4000,
Tricky_Tower,1,0,1,1,0,64,64.0,3407,
Tumblebox,1,0,4,4,0,6,3.2,51,
Tumblin',1,0,6,6,0,9,5.8,192,
Tunnel_City_,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Tunnel_Rat,1,1,2,0,2,0,0,2000,
Turing_Machine,1,0,1,0,1,0,0,63000,
Turn-based_Pac-man,1,0,8,0,8,0,0,38000,
TwinPush,1,0,4,1,3,15,15.0,17000,
Twin_Drop,1,1,1,0,1,0,0,15000,
"Twinkle,_Twinkle_Little_Square",1,1,8,3,5,47,33.3,17000,
Two-Bit's_Sacraficial_Adventure,1,0,14,9,5,108,44.3,14000,
Two-faced,1,0,9,3,6,41,28.0,33000,
Two_level_puzzle,1,0,3,0,3,0,0,45000,
Ultimate_Sokoban_Supreme,1,0,10,5,5,10,6.6,41000,
Un-Lock,1,0,1,0,1,0,0,2000,
Unconventional_Guns,1,0,15,10,3,21,14.0,9000,
Undertale_X_O_Puzzle,1,0,2,1,1,28,28.0,47000,
Unfinished_Arrows_Game,1,0,9,7,2,26,13.1,61000,
Union_Move,1,0,14,11,1,40,22.1,30000,
Unity,1,0,12,10,2,50,19.3,90000,
Uphill_Pathfinder,1,0,1,0,1,0,0,3000,
Upstairs_Downstairs,1,0,20,2,18,73,59.0,88000,
VEXT_EDIT,1,1,32,3,29,34,23.3,5000,
VRPS,1,0,8,2,6,14,11.0,14000,
Vacuum,1,0,1,0,1,0,0,2000,
Variations,1,0,9,4,5,22,16.8,73000,
Veggie_Jam,1,0,3,3,0,38,19.3,2472,
Velocity_Castle,1,0,14,11,3,42,24.0,5375,
Vertebrae,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
Vines,1,0,1,1,0,66,66.0,4417,
W3RDS,1,1,1,0,1,0,0,2000,
Warping_Through_the_Halls,1,1,7,5,0,33,21.0,10486,
Weird_Bug,1,0,10,5,1,42,15.4,47000,
Weird_Bug_II__Weird_Bugger,1,0,4,0,4,0,0,58000,
Weird_Bug_and_the_Many_Magic_Gems,1,1,25,0,25,0,0,18000,
Weird_Dave,1,0,3,2,1,9,6.0,15000,
Winter,1,1,20,13,7,36,13.6,18415,
Wizard_School!,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
Wormy,1,0,1,0,1,0,0,45000,
Wrap,1,0,7,7,0,17,9.9,23,
Wriggler_demake,1,0,14,8,6,84,46.5,25000,
XL-Plan,1,1,4,1,3,21,21.0,8000,
XL-Up_Maze,1,0,2,2,0,4,4.0,4,
Xtreme_Gardening,1,0,10,5,5,22,12.6,33000,
Yin-Yang,1,0,21,12,9,72,24.2,40000,
Yin_Yang,1,0,14,10,4,37,22.0,58000,
Yin_and_Yang,1,0,3,3,0,15,12.0,62,
You're_Toast!,1,0,4,3,1,22,12.0,37000,
Zaap,1,1,1,0,0,0,0,1280,
Zanzlanz_Adventures,1,0,15,13,2,40,14.5,17878,
Zen_Puzzle_Garden,1,0,5,0,5,0,0,39000,
ZigZag_Ice,1,0,5,4,1,34,24.8,36000,
Zombie_Invasion,1,0,4,3,1,15,12.3,39000,
Zombie_Pitfall,1,0,3,2,1,10,6.5,64000,
Zombie_Rescue,1,0,15,15,0,21,12.7,5061,
Zoop_Demake,1,1,1,0,0,0,0,64,
_Fishman,1,0,4,4,0,42,28.8,1278,
"_I_Have_No_Mouth,_And_I_Cannot_Push_Two_Boxes",1,0,1,0,1,0,0,8000,
"_I_Have_No_Mouth,_And_I_Must_Toggle_Blocks_On_All_Sides_Of_Me",1,0,10,2,8,12,12.0,10000,
"_I_Have_No_Mouth,_And_I_Must__Find_My_Hiding_Spot",1,0,20,7,11,10,7.9,12000,
"_Let's_Part,_E__Contest_Ver",1,1,10,3,7,16,8.0,12000,
_Paint^2,1,0,1,0,1,0,0,6000,
_Swap_the_block!,1,0,5,2,3,18,17.0,60000,
_Tour_de_Four,1,1,13,2,11,11,10.5,7000,
___Hey_you!_Stop_blocking_the_laser!,1,0,23,16,7,54,15.3,60000,
___Sixty-Five,1,1,1,0,1,0,0,1000,
_____,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
_______________Mad_Queens,1,0,11,11,0,34,18.5,3882,
_sokochrome,1,0,9,1,8,11,11.0,13000,
actiontest,1,0,1,0,1,0,0,33000,
againexample,1,1,1,0,0,0,0,2,
atlas shrank,1,0,12,5,7,40,26.6,10000,
blank,1,0,2,2,0,33,24.5,900,
blockfaker,1,0,5,3,2,26,20.0,29000,
blocks,1,0,1,0,1,0,0,32000,
bouncers,1,0,5,0,5,0,0,44000,
byyourside,1,0,10,10,0,108,36.3,2779,
cakemonsters,1,0,36,28,8,28,16.1,79000,
candy_saga_2__turbo_edge,1,0,8,7,1,43,25.6,13000,
castlecloset,1,0,1,1,0,26,26.0,2868,
castlemouse,1,0,10,10,0,9,4.9,396,
chaos wizard,1,0,22,1,21,17,17.0,25000,
chaos_wizard_ii__spellcrafter,1,0,4,0,4,0,0,27000,
coincounter,1,0,11,10,0,78,33.8,11042,
collapse,1,1,2,1,1,23,23.0,1000,
color chained,1,1,12,8,4,9,6.6,7000,
colorban_test,1,0,1,0,0,0,0,51,
constellationz,1,0,11,7,4,29,12.7,10000,
cratopia,1,0,17,8,9,92,26.0,30000,
cute train,1,1,1,0,1,0,0,1000,
diesinthelight,1,0,4,1,3,33,33.0,9000,
dot_puzzle_test,1,0,1,0,0,0,0,100000,
dreizack,1,0,5,1,3,9,9.0,1000,
dropswap,1,1,5,0,5,0,0,33000,
dungeon janitor,1,1,4,1,3,5,5.0,33000,
dungeons,1,0,2,0,2,0,0,5000,
easyenigma,1,1,21,16,5,26,5.3,3000,
ebony and ivory,1,0,1,1,0,12,12.0,2272,
eyeball,1,0,1,0,0,0,0,506,
firefighting,1,0,1,0,1,0,0,32000,
gdd301_test,1,0,2,1,0,13,13.0,613,
gobble_rush,1,1,21,21,0,30,15.6,1860,
gunslinger,1,0,5,0,5,0,0,8000,
heroes_of_sokoban,1,0,22,13,9,41,19.8,70000,
heroes_of_sokoban_2,1,0,22,11,11,55,28.2,37000,
heroes_of_sokoban_3,1,0,22,6,16,55,30.7,79000,
i_am_two,1,0,8,1,7,23,23.0,16000,
i_herd_u_liek_water_templs_,1,1,7,0,7,0,0,12000,
icecrates,1,0,6,6,0,32,15.0,4989,
ironic_game,1,0,1,0,1,0,0,4000,
it dies in the light,1,0,4,1,3,33,33.0,9000,
kettle,1,0,11,9,2,8,4.6,7000,
lava_flow,1,0,2,0,1,0,0,6000,
ledchallenge,1,0,4,0,4,0,0,57000,
leftrightnpcs,1,0,1,0,0,0,0,888,
legend of zokoban,1,1,1,0,1,0,0,9000,
limerick,1,0,10,2,8,42,32.5,23000,
limerick_test,1,0,1,0,0,0,0,14268,
lovendpieces,1,0,9,8,0,21,14.6,36029,
lunar_lockout,1,0,4,4,0,36,22.2,30351,
m c eschers armageddon,1,0,4,4,0,141,42.0,1921,
magnetic,1,0,4,4,0,12,7.0,7571,
manic_ammo,1,0,15,11,4,52,19.3,54000,
mazetest,1,1,1,0,1,0,0,4000,
mazezam,1,0,30,25,5,159,75.2,47000,
microban,1,0,10,8,2,107,54.5,92000,
midas,1,0,15,6,9,16,11.0,26000,
mijn_puzzelspel,1,0,3,0,1,0,0,23000,
modality,1,0,4,4,0,158,65.8,5371,
naborciM,1,0,10,10,0,100,47.6,5712,
naughtysprite,1,0,1,0,0,0,0,1190,
nekopuzzle,1,0,10,10,0,9,6.6,26,
niggle,1,1,4,0,4,0,0,62000,
notsnake,1,0,1,0,0,0,0,100000,
octat,1,0,8,8,0,38,17.4,16009,
octat_test,1,0,1,0,0,0,0,10040,
opposition_test,1,0,1,0,0,0,0,32,
perpendicular_test,1,0,1,0,0,0,0,3906,
pikkuruinen,1,0,12,11,1,16,5.6,56000,
ponies jumping synchronously,1,0,12,8,4,18,10.4,36000,
ponies_jumping_synchronously_fixed,1,0,12,8,4,18,10.4,32000,
pretender_to_the_crown,1,1,16,0,16,0,0,25000,
push,1,0,21,18,3,56,24.2,44000,
puzzles,1,0,1,0,1,0,0,9000,
randomrobots,1,1,1,0,1,0,0,54000,
randomspawner,1,1,1,0,1,0,0,84000,
rigid_11,1,0,1,0,0,0,0,127,
rigid_and_little,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
rigid_many_broken,1,0,2,0,2,0,0,72000,
rigid_many_many,1,0,2,0,2,0,0,56000,
rigid_many_many2,1,0,1,0,1,0,0,53000,
rigid_one_object,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
rigid_one_unlimited,1,0,1,0,1,0,0,24000,
rigid_parallel_many,1,0,1,0,1,0,0,20000,
rigid_parallel_unlimited,1,0,1,0,1,0,0,18000,
rigid_scott1,1,0,1,0,1,0,0,29000,
rigidfail1,1,0,1,0,0,0,0,670,
riverpuzzle,1,1,1,0,1,0,0,1000,
robotarm,0,0,0,0,0,0,0,0,hang: exceeded 600.0s wall clock
rotate_fall,1,0,20,20,0,11,6.2,184,
scriptcross,1,0,4,1,3,8,8.0,74000,
secrets_test,1,0,1,0,0,0,0,32,
several_rigid_bodies,1,0,0,0,0,0,0,0,"engine: [json.exception.type_error.302] type must be number, but is null"
shoving,1,0,5,5,0,18,12.8,60375,
silver_lungs,1,0,7,7,0,35,22.9,7258,
slidings,1,0,11,11,0,17,10.8,12189,
smother,1,0,16,14,2,44,18.2,15000,
sok7,1,1,1,0,1,0,0,14000,
soko_and_the_band_test,1,0,1,0,0,0,0,48,
sokoban_basic,1,0,2,2,0,33,24.5,900,
sokoban_basic_debug,1,0,2,2,0,33,24.5,900,
sokoban_basic_zoomscreen,1,0,2,2,0,33,24.5,900,
sokoban_empty,1,0,2,0,0,0,0,16,
sokoban_eyeball,1,0,1,0,0,0,0,506,
sokoban_horizontal,1,0,2,1,0,3,3.0,315,
sokoban_match3,1,0,2,2,0,17,15.0,11620,
sokoban_sanity,1,0,3,3,0,33,19.3,900,
sokoban_sticky,1,0,2,1,0,7,7.0,13082,
sokobond demake,1,0,15,14,1,24,12.3,72000,
sokodig,1,1,18,12,6,13,7.5,8000,
something,1,0,14,13,1,113,43.8,59000,
spooki,1,1,1,0,1,0,0,1000,
stick_candy_puzzle_saga,1,0,20,1,19,20,20.0,53000,
sum_three_horizontally_to_8!,1,1,13,12,1,18,9.7,5000,
sumo,1,0,1,0,0,0,0,60,
take heart lass,1,0,12,10,2,27,12.8,24000,
the_camel_and_th_,1,0,1,1,0,3,3.0,5,
